Package,LibPath,Version,Priority,Built
R6,H:/R/R-3.3.2/library,2.2.2,NA,3.3.3
RColorBrewer,H:/R/R-3.3.2/library,1.1-2,NA,3.3.2
Rcpp,H:/R/R-3.3.2/library,0.12.14,NA,3.3.3
RcppEigen,H:/R/R-3.3.2/library,0.3.3.3.1,NA,3.3.3
readr,H:/R/R-3.3.2/library,1.1.1,NA,3.3.3
readxl,H:/R/R-3.3.2/library,1.0.0,NA,3.3.3
rematch,H:/R/R-3.3.2/library,1.0.1,NA,3.3.3
reprex,H:/R/R-3.3.2/library,0.1.1,NA,3.3.3
reshape2,H:/R/R-3.3.2/library,1.4.3,NA,3.3.3
rgeos,H:/R/R-3.3.2/library,0.3-26,NA,3.3.3
rlang,H:/R/R-3.3.2/library,0.1.4,NA,3.3.3
rmarkdown,H:/R/R-3.3.2/library,1.8,NA,3.3.3
RMySQL,H:/R/R-3.3.2/library,0.10.13,NA,3.3.3
RODBC,H:/R/R-3.3.2/library,1.3-15,NA,3.3.3
rpart,H:/R/R-3.3.2/library,4.1-11,recommended,3.3.3
rprojroot,H:/R/R-3.3.2/library,1.2,NA,3.3.2
rstan,H:/R/R-3.3.2/library,2.16.2,NA,3.3.3
rstudioapi,H:/R/R-3.3.2/library,0.7,NA,3.3.3
rvest,H:/R/R-3.3.2/library,0.3.2,NA,3.3.2
scales,H:/R/R-3.3.2/library,0.5.0,NA,3.3.3
selectr,H:/R/R-3.3.2/library,0.3-1,NA,3.3.2
shiny,H:/R/R-3.3.2/library,1.0.5,NA,3.3.3
sna,H:/R/R-3.3.2/library,2.4,NA,3.3.3
sourcetools,H:/R/R-3.3.2/library,0.1.6,NA,3.3.3
sp,H:/R/R-3.3.2/library,1.2-5,NA,3.3.3
spatial,H:/R/R-3.3.2/library,7.3-11,recommended,3.3.2
splines,H:/R/R-3.3.2/library,3.3.2,base,3.3.2
StanHeaders,H:/R/R-3.3.2/library,2.16.0-1,NA,3.3.3
statnet.common,H:/R/R-3.3.2/library,4.0.0,NA,3.3.3
stats,H:/R/R-3.3.2/library,3.3.2,base,3.3.2
stats4,H:/R/R-3.3.2/library,3.3.2,base,3.3.2
stringi,H:/R/R-3.3.2/library,1.1.6,NA,3.3.3
stringr,H:/R/R-3.3.2/library,1.2.0,NA,3.3.2
survival,H:/R/R-3.3.2/library,2.41-3,recommended,3.3.3
tcltk,H:/R/R-3.3.2/library,3.3.2,base,3.3.2
tibble,H:/R/R-3.3.2/library,1.3.4,NA,3.3.3
tidyr,H:/R/R-3.3.2/library,0.7.2,NA,3.3.3
tidyselect,H:/R/R-3.3.2/library,0.2.3,NA,3.3.3
tidyverse,H:/R/R-3.3.2/library,1.2.1,NA,3.3.3
tools,H:/R/R-3.3.2/library,3.3.2,base,3.3.2
tree,H:/R/R-3.3.2/library,1.0-39,NA,3.3.3
usethis,H:/R/R-3.3.2/library,1.4.0,NA,3.3.2
utils,H:/R/R-3.3.2/library,3.3.2,base,3.3.2
viridisLite,H:/R/R-3.3.2/library,0.2.0,NA,3.3.3
whisker,H:/R/R-3.3.2/library,0.3-2,NA,3.3.3
XML,H:/R/R-3.3.2/library,3.98-1.9,NA,3.3.3
xml2,H:/R/R-3.3.2/library,1.1.1,NA,3.3.2
xtable,H:/R/R-3.3.2/library,1.8-2,NA,3.3.3
yaml,H:/R/R-3.3.2/library,2.1.15,NA,3.3.3
zoo,H:/R/R-3.3.2/library,1.8-0,NA,3.3.3
